"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 09:59:19 IST 2020","Tue Mar 03 09:59:19 IST 2020","470","","performing opeartions in espn home page: Login with invalid user credentials","","performing opeartions in espn home page: Login with invalid user credentials","And I shall be on login page","And I shall be on login page",""
"passed","Tue Mar 03 09:59:23 IST 2020","Tue Mar 03 09:59:26 IST 2020","2944","","performing opeartions in espn home page: Verifying search button is present","","performing opeartions in espn home page: Verifying search button is present","Given I'm on the Home page","Given I'm on the Home page",""
"passed","Tue Mar 03 09:59:05 IST 2020","Tue Mar 03 09:59:06 IST 2020","710","","performing opeartions in espn home page: Login with valid user credentials","","performing opeartions in espn home page: Login with valid user credentials","When I click on log in option","When I click on log in option",""
"passed","Tue Mar 03 09:59:16 IST 2020","Tue Mar 03 09:59:18 IST 2020","2533","","performing opeartions in espn home page: Login with invalid user credentials","","performing opeartions in espn home page: Login with invalid user credentials","Given I'm on the Home page","Given I'm on the Home page",""
"passed","Tue Mar 03 09:59:07 IST 2020","Tue Mar 03 09:59:07 IST 2020","781","","performing opeartions in espn home page: Login with valid user credentials","","performing opeartions in espn home page: Login with valid user credentials","And I login with valid user credentials","And I login with valid user credentials",""
"passed","Tue Mar 03 09:59:07 IST 2020","Tue Mar 03 09:59:15 IST 2020","8161","","performing opeartions in espn home page: Login with valid user credentials","","performing opeartions in espn home page: Login with valid user credentials","Then I should be logged in successfully","Then I should be logged in successfully",""
"passed","Tue Mar 03 09:59:19 IST 2020","Tue Mar 03 09:59:23 IST 2020","3732","","performing opeartions in espn home page: Login with invalid user credentials","","performing opeartions in espn home page: Login with invalid user credentials","And I login with invalid user credentials","And I login with invalid user credentials",""
"passed","Tue Mar 03 09:59:28 IST 2020","Tue Mar 03 09:59:28 IST 2020","0","","performing opeartions in espn home page: Verifying search button is present","","performing opeartions in espn home page: Verifying search button is present","Hook","Hook",""
"passed","Tue Mar 03 09:59:15 IST 2020","Tue Mar 03 09:59:15 IST 2020","0","","performing opeartions in espn home page: Login with valid user credentials","","performing opeartions in espn home page: Login with valid user credentials","Hook","Hook",""
"passed","Tue Mar 03 09:59:27 IST 2020","Tue Mar 03 09:59:28 IST 2020","580","","performing opeartions in espn home page: Verifying search button is present","","performing opeartions in espn home page: Verifying search button is present","Then I should see user input section","Then I should see user input section",""
"passed","Tue Mar 03 09:59:23 IST 2020","Tue Mar 03 09:59:23 IST 2020","425","","performing opeartions in espn home page: Login with invalid user credentials","","performing opeartions in espn home page: Login with invalid user credentials","Then I should not get logged in","Then I should not get logged in",""
"passed","Tue Mar 03 09:59:26 IST 2020","Tue Mar 03 09:59:27 IST 2020","730","","performing opeartions in espn home page: Verifying search button is present","","performing opeartions in espn home page: Verifying search button is present","When I click on search option","When I click on search option",""
"passed","Tue Mar 03 09:59:23 IST 2020","Tue Mar 03 09:59:23 IST 2020","1","","performing opeartions in espn home page: Login with invalid user credentials","","performing opeartions in espn home page: Login with invalid user credentials","Hook","Hook",""
"passed","Tue Mar 03 09:58:58 IST 2020","Tue Mar 03 09:59:05 IST 2020","7202","","performing opeartions in espn home page: Login with valid user credentials","","performing opeartions in espn home page: Login with valid user credentials","Given I'm on the Home page","Given I'm on the Home page",""
"passed","Tue Mar 03 09:59:18 IST 2020","Tue Mar 03 09:59:19 IST 2020","589","","performing opeartions in espn home page: Login with invalid user credentials","","performing opeartions in espn home page: Login with invalid user credentials","When I click on log in option","When I click on log in option",""
"passed","Tue Mar 03 09:59:06 IST 2020","Tue Mar 03 09:59:07 IST 2020","455","","performing opeartions in espn home page: Login with valid user credentials","","performing opeartions in espn home page: Login with valid user credentials","And I shall be on login page","And I shall be on login page",""
